Id	CAS	SMILES	Status	Experimental value	Predicted value
102	102408-25-3	n1cccc3c1ccc2nc(N)n(c23)C	Training	Mutagen	Mutagen
103	102408-26-4	n1cccc3c1ccc2c3(nc(NC)n2C)	Training	Mutagen	Mutagen
104	102408-27-5	n1cccc3c1ccc2c3(nc(n2C)N(C)C)	Training	Mutagen	Mutagen
105	1024-41-5	O=S(=O)(OCc1ccccc1)c2ccc(cc2)C	Training	NON-Mutagen	NON-Mutagen
106	102-50-1	O(c1ccc(N)c(c1)C)C	Training	Mutagen	Mutagen
107	1025-15-6	O=C1N(C(=O)N(C(=O)N1CC=C)CC=C)CC=C	Training	NON-Mutagen	NON-Mutagen
108	102-60-3	OC(C)CN(CCN(CC(O)C)CC(O)C)CC(O)C	Training	NON-Mutagen	NON-Mutagen
109	10264-12-7	O=C(NCc1ccccc1)CC	Training	NON-Mutagen	NON-Mutagen
110	102694-32-6	O=C1C=CC6(O)(c2c(ccc(O)c12)c4ccc(O)c5C(=O)C3OC3C6(c45))	Training	Mutagen	Mutagen
111	102-70-5	C=CCN(CC=C)CC=C	Training	NON-Mutagen	NON-Mutagen
112	102-71-6	OCCN(CCO)CCO	Training	NON-Mutagen	NON-Mutagen
113	102-77-2	n2c1ccccc1sc2SN3CCOCC3	Training	NON-Mutagen	NON-Mutagen
114	102791-32-2	O=C1C(=O)c4c3c(ccc2cccc1c23)ccc4[N+](=O)[O-]	Training	Mutagen	Mutagen
115	102791-33-3	O=C1Oc3ccc(c4ccc2cccc1c2c34)[N+](=O)[O-]	Training	Mutagen	Mutagen
116	102791-34-4	O=C1Oc4c(ccc3ccc2cccc1c2c34)[N+](=O)[O-]	Training	Mutagen	Mutagen
117	102-81-8	OCCN(CCCC)CCCC	Training	NON-Mutagen	NON-Mutagen
118	102822-04-8	O=C1C(=O)c3ccc(c4ccc2cccc1c2c34)[N+](=O)[O-]	Training	Mutagen	Mutagen
119	102-82-9	N(CCCC)(CCCC)CCCC	Training	NON-Mutagen	NON-Mutagen
120	10285-07-1	O=C(OCC1=CCN2CCC(O)C12)C(O)(C(O)C)C(C)C	Training	NON-Mutagen	NON-Mutagen
121	102859-52-9	O=[N+]([O-])C5=Cc1ccc2ccc3cccc4cc5(c1c2c34)	Training	Mutagen	Mutagen
122	102873-32-5	O=[N+]([O-])c1cccc(c1)c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-]	Training	Mutagen	Mutagen
123	102877-14-5	n1c3cccc(N)c3(nc2c1cccc2(N))	Training	NON-Mutagen	Mutagen
124	102-96-5	O=[N+]([O-])C=Cc1ccccc1	Training	Mutagen	Mutagen
125	1030-27-9	O=C(C=Cc1ccc(cc1)N(C)C)c2ccccc2	Training	NON-Mutagen	NON-Mutagen
126	103088-83-1	O=C3C=Cc2ccc1c4ccccc4(ccc1c2C3(=O))	Training	Mutagen	NON-Mutagen
127	10312-83-1	O=CCOC	Training	Mutagen	NON-Mutagen
128	103139-94-2	n1cc(nc3c1c(cc2c3(nc(N)n2C))C)C	Training	Mutagen	Mutagen
129	103-17-3	c1cc(ccc1CSc2ccc(cc2)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
130	10318-26-0	OC(CBr)C(O)C(O)C(O)CBr	Training	Mutagen	NON-Mutagen
131	103-30-0	c1ccc(cc1)C=Cc2ccccc2	Training	NON-Mutagen	Mutagen
132	103-33-3	N(=Nc1ccccc1)c2ccccc2	Training	Mutagen	Mutagen
133	103-34-4	O1CCN(CC1)SSN2CCOCC2	Training	NON-Mutagen	Mutagen
134	10335-79-2	O=C(NO)c1ccc2ccccc2(c1)	Training	Mutagen	Mutagen
135	103369-09-1	O=C(OCNC(=O)c1ccc(cc1)Cl)C	Training	NON-Mutagen	NON-Mutagen
136	103393-70-0	c1ccc2c(c1)c4cccc3cc(cc2c34)CCl	Training	Mutagen	Mutagen
137	103393-71-1	c2cc1cccc4c1c(c2)c3cccc(c34)CCl	Training	Mutagen	Mutagen
138	103393-72-2	c1cc2cccc3c4cc(ccc4(c(c1)c23))CCl	Training	Mutagen	Mutagen
139	103395-25-1	c1ccc2c(c1)c4cccc3ccc(c2c34)CCl	Training	Mutagen	Mutagen
140	1034-41-9	OC1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
141	103-50-4	O(Cc1ccccc1)Cc2ccccc2	Training	NON-Mutagen	Mutagen
142	10353-53-4	O1CC1CCC=C	Training	Mutagen	NON-Mutagen
143	10353-98-7	O=[N+]([O-])c3ccc2cccc1C=Cc3(c12)	Training	Mutagen	Mutagen
144	10353-99-8	O=[N+]([O-])c3ccc2C=Cc1cccc3(c12)	Training	Mutagen	Mutagen
145	103630-35-9	O=C2C(=CC1C(C(=C)CCC1(C(=C)C))C=3C(=O)C(O)(C)CC2=3)C	Training	NON-Mutagen	NON-Mutagen
146	103667-52-3	O=C2C(=CC1C(C(=C)CCC1(C(=C)C))C=3C(=O)C(C)CC2=3)C	Training	NON-Mutagen	NON-Mutagen
147	103-69-5	c1ccc(cc1)NCC	Training	NON-Mutagen	NON-Mutagen
148	103-70-8	O=CNc1ccccc1	Training	NON-Mutagen	NON-Mutagen
149	10373-78-1	O=C1C(=O)C2(C)(CCC1C2(C)(C))	Training	NON-Mutagen	NON-Mutagen
150	103748-25-0	n1c(N)n(c2ccc(cc12)Cl)C	Training	Mutagen	NON-Mutagen
151	103-76-4	OCCN1CCNCC1	Training	NON-Mutagen	NON-Mutagen
152	103-80-0	O=C(Cc1ccccc1)Cl	Training	Mutagen	Mutagen
153	103-83-3	c1ccc(cc1)CN(C)C	Training	NON-Mutagen	NON-Mutagen
154	103-84-4	O=C(Nc1ccccc1)C	Training	NON-Mutagen	Mutagen
155	103-85-5	NC(Nc1ccccc1)=S	Training	NON-Mutagen	Mutagen
156	10387-13-0	c1ccc3c(c1)c(c2ccccc2c3CCl)CCl	Training	Mutagen	Mutagen
157	103878-84-8	O=C(NCCN)c1ncc(cc1)Cl	Training	NON-Mutagen	NON-Mutagen
158	103-89-9	O=C(Nc1ccc(cc1)C)C	Training	Mutagen	NON-Mutagen
159	103-90-2	O=C(Nc1ccc(O)cc1)C	Training	NON-Mutagen	NON-Mutagen
160	103942-97-8	O=C(NCCN(C)C)c2cccc1nc3ccccc3(nc12)	Training	Mutagen	Mutagen
161	103946-55-0	O(CC1CCC2OC2(C1))CC3CCC4OC4(C3)	Training	Mutagen	NON-Mutagen
162	10396-63-1	O=[N+]([O-])c1ccc(cc1)NC2OCC(O)C(O)C2(O)	Training	NON-Mutagen	Mutagen
163	10396-68-6	O=C(O)c1ccc(cc1)NC2OCC(O)C(O)C2(O)	Training	NON-Mutagen	Mutagen
164	103978-08-1	O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))c3ccc(O)cc3)CC	Training	Mutagen	NON-Mutagen
165	104-03-0	O=C(O)Cc1ccc(cc1)[N+](=O)[O-]	Training	Mutagen	Mutagen
166	104-04-1	O=C(Nc1ccc(cc1)[N+](=O)[O-])C	Training	NON-Mutagen	Mutagen
167	104145-44-0	O=C(OC)c4nc(c1nc2C(=O)C=CC(=O)c2(cc1))c5[nH]c3ccccc3c5(c4)	Training	Mutagen	Mutagen
168	104226-21-3	OCCN(c2ccc(N=Nc1ccc(N)cc1)c(c2)C)CCO	Training	NON-Mutagen	NON-Mutagen
169	104-28-9	O=C(OCCOCC)C=Cc1ccc(OC)cc1	Training	NON-Mutagen	NON-Mutagen
170	104-40-5	Oc1ccc(cc1)CCCCCCCCC	Training	NON-Mutagen	NON-Mutagen
171	10443-65-9	O=C(O)C(=C)Br	Training	NON-Mutagen	Mutagen
172	104-46-1	O(c1ccc(cc1)C=CC)C	Training	NON-Mutagen	NON-Mutagen
173	104485-01-0	O=C(OC2CCCCC2(N1CCCC1))Nc3cccc(OCCCCC)c3	Training	NON-Mutagen	NON-Mutagen
174	104-49-4	O=C=Nc1ccc(N=C=O)cc1	Training	NON-Mutagen	Mutagen
175	104499-47-0	n1ccccc1N(Cc2ccc(OC)cc2)CCNC	Training	NON-Mutagen	NON-Mutagen
176	104527-49-3	O=[N+]([O-])c1ccc(cc1)C2OCC3(N2C(OC3)c4ccc(cc4)[N+](=O)[O-])(CO)	Training	Mutagen	Mutagen
177	104535-30-0	O=[N+]([O-])c1cc(N)cc(c1(N))CCO	Training	Mutagen	NON-Mutagen
178	104535-31-1	O=[N+]([O-])c1cc(N)cc(c1(N))CC(O)C	Training	NON-Mutagen	Mutagen
179	10453-89-1	O=C(O)C1C(C=C(C)C)C1(C)(C)	Training	NON-Mutagen	NON-Mutagen
180	104-54-1	OCC=Cc1ccccc1	Training	NON-Mutagen	NON-Mutagen
181	104671-59-2	O=C(ONC(=O)C)NC	Training	Mutagen	Mutagen
182	104-67-6	O=C1OC(CC1)CCCCCCC	Training	NON-Mutagen	NON-Mutagen
183	10474-14-3	CC(CCl)(CBr)Br	Training	NON-Mutagen	NON-Mutagen
184	104775-36-2	O=C(NC)c1cccc(c1)NCC(=O)NCCc2ccc(OC)c(OC)c2	Training	NON-Mutagen	NON-Mutagen
185	104-78-9	NCCCN(CC)CC	Training	NON-Mutagen	NON-Mutagen
186	104789-46-0	O=C(NCCCl)SC=2NC=NC1=NC=NC1=2	Training	Mutagen	Mutagen
187	104-82-5	c1cc(ccc1C)CCl	Training	NON-Mutagen	Mutagen
188	104-83-6	c1cc(ccc1CCl)Cl	Training	NON-Mutagen	NON-Mutagen
189	104-85-8	N#Cc1ccc(cc1)C	Training	NON-Mutagen	NON-Mutagen
190	104-87-0	O=Cc1ccc(cc1)C	Training	NON-Mutagen	NON-Mutagen
191	104-88-1	O=Cc1ccc(cc1)Cl	Training	NON-Mutagen	NON-Mutagen
192	104-90-5	n1cc(ccc1C)CC	Training	NON-Mutagen	NON-Mutagen
193	104-91-6	O=Nc1ccc(O)cc1	Training	Mutagen	Mutagen
194	104-94-9	O(c1ccc(N)cc1)C	Training	Mutagen	Mutagen
195	104953-00-6	N#Cc1ccc(cc1)C2(OC2)(C)	Training	Mutagen	Mutagen
196	104-98-3	O=C(O)C=Cc1nc[nH]c1	Training	NON-Mutagen	NON-Mutagen
197	105052-38-8	O=[N+]([O-])C=1Oc2cccc3cccc(C=1)c23	Training	Mutagen	Mutagen
198	105052-39-9	O=[N+]([O-])C=1Oc2cccc3c(OC)ccc(C=1)c23	Training	Mutagen	Mutagen
199	10510-77-7	n2c1ccccc1[n+](c3ccccc23)CC	Training	Mutagen	Mutagen
200	105-13-5	OCc1ccc(OC)cc1	Training	NON-Mutagen	NON-Mutagen
201	105149-00-6	O=C1OCC4(C(=C1)C(=CC3C4(CCC2(C)(C3(CCC2(OC(=O)C)(C(=O)C)))))Cl)(C)	Training	NON-Mutagen	NON-Mutagen
202	10517-47-2	O=C(c1ccc(cc1)NO)C	Training	Mutagen	Mutagen
203	105361-85-1	ONc1cccc(c1)c2ccccc2	Training	NON-Mutagen	Mutagen
204	105361-86-2	O=Nc1cccc(c1)c2ccccc2	Training	Mutagen	Mutagen
205	105-36-2	O=C(OCC)CBr	Training	Mutagen	Mutagen
206	105-39-5	O=C(OCC)CCl	Training	NON-Mutagen	NON-Mutagen
207	10540-29-1	O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)CC)CCN(C)C	Training	NON-Mutagen	NON-Mutagen
208	105427-00-7	O=C(NCc1ccccc1)C2(OC2)(C)	Training	Mutagen	NON-Mutagen
209	105427-01-8	O=C(Nc1ccccc1)C2(OC2)(C)	Training	Mutagen	NON-Mutagen
210	105427-02-9	O=C(NCc1ccccc1)C2OC2	Training	Mutagen	Mutagen
211	105427-03-0	O=C(Nc1ccccc1)C2OC2	Training	Mutagen	NON-Mutagen
212	105427-04-1	O=C(OCC)CNC(=O)C(C)(C)Br	Training	NON-Mutagen	Mutagen
213	105-45-3	O=C(OC)CC(=O)C	Training	NON-Mutagen	NON-Mutagen
214	105453-63-2	OC5C=Cc4ccc3cc2c(ccc1ccccc12)cc3c4C5(O)	Training	Mutagen	Mutagen
215	105453-64-3	OC3C=Cc2c4cc5ccc1ccccc1c5(cc4(ccc2C3(O)))	Training	Mutagen	Mutagen
216	105453-67-6	OC3c5ccccc5(c2cc4ccc1ccccc1c4(cc2C3(O)))	Training	Mutagen	NON-Mutagen
217	105467-67-2	Oc5cccc3c5(ccc2nc4ccc1ccccc1c4(cc23))	Training	NON-Mutagen	Mutagen
218	105467-73-0	OC4c3ccc2nc6ccc1ccccc1c6(cc2c3C5OC5(C4(O)))	Training	Mutagen	Mutagen
219	105467-77-4	n2c5ccc1ccccc1c5(cc3c2ccc4c3CCCC4)	Training	Mutagen	Mutagen
220	105-48-6	O=C(OC(C)C)CCl	Training	NON-Mutagen	NON-Mutagen
221	10549-22-1	O=[N+]([O-])c2cc4c3c1c(cccc1CCc3(c2))CC4	Training	Mutagen	Mutagen
222	105-54-4	O=C(OCC)CCC	Training	NON-Mutagen	NON-Mutagen
223	105553-32-0	O=NN(N(C(=O)C(=NO)C(=O)C)c1ccccc1)C	Training	Mutagen	NON-Mutagen
224	105-55-5	N(C(NCC)=S)CC	Training	NON-Mutagen	NON-Mutagen
225	105579-74-6	O=C6c1c(O)ccc3c1C(c4ccc(O)c5C(=O)C2OC2C3c45)C7OC67	Training	Mutagen	Mutagen
226	105-58-8	O=C(OCC)OCC	Training	NON-Mutagen	NON-Mutagen
227	105-59-9	OCCN(C)CCO	Training	NON-Mutagen	NON-Mutagen
228	105-60-2	O=C1NCCCCC1	Training	NON-Mutagen	NON-Mutagen
229	105650-23-5	n1cc(cc2c1nc(N)n2C)c3ccccc3	Training	Mutagen	Mutagen
230	10567-95-0	n2c1ccccc1c(c3cc(c4ccccc4(c23))C)C	Training	Mutagen	Mutagen
231	105708-67-6	O=C(OC5c4ccc1ccc2cccc3cc(c4(c1c23))C5)C	Training	Mutagen	Mutagen
232	105708-68-7	O=C(OC5c4cc3cccc2ccc1ccc(c4(c1c23))C5)C	Training	Mutagen	Mutagen
233	105708-73-4	O=C(OCc6c5cccc4ccc3cc2cccc1ccc6(c(c12)c3c45))C	Training	Mutagen	Mutagen
234	105708-74-5	c2cc1ccc6c5c1c(c2)cc4ccc3cccc(c3c45)c6CBr	Training	Mutagen	Mutagen
235	105708-79-0	O=C(OCc4ccc1ccc2cccc3ccc4(c1c23))C	Training	Mutagen	Mutagen
236	105708-80-3	OCc2c4ccccc4(cc1c3ccccc3(ccc12))	Training	Mutagen	Mutagen
237	105735-71-5	O=[N+]([O-])c4ccc2c1cccc(c1c3cccc4(c23))[N+](=O)[O-]	Training	Mutagen	Mutagen
238	105-74-8	O=C(OOC(=O)CCCCCCCCCCC)CCCCCCCCCCC	Training	NON-Mutagen	NON-Mutagen
239	105752-67-8	O=[N+]([O-])c2ccc1c(cccc1C)c2	Training	Mutagen	Mutagen
240	105-76-0	O=C(OCCCC)C=CC(=O)OCCCC	Training	NON-Mutagen	NON-Mutagen
241	105777-13-7	OC4C=CC=3c2cccc1cccc(c12)C=3C4(O)	Training	Mutagen	Mutagen
242	105801-28-3	O=CN(O)c2ccc(Oc1ccc(cc1)Cl)cc2	Training	Mutagen	Mutagen
243	105802-11-7	O=[N+]([O-])c3c4ccccc4(c2ccc1ccccc1c2c3C)	Training	Mutagen	Mutagen
244	105836-99-5	O=[N+]([O-])c1ccc2nc3c(nc2(c1))cccc3[N+](=O)[O-]	Training	Mutagen	Mutagen
245	105837-00-1	O=[N+]([O-])c1ccc2nc3ccc(cc3(nc2(c1)))[N+](=O)[O-]	Training	Mutagen	Mutagen
246	105-87-3	O=C(OCC=C(C)CCC=C(C)C)C	Training	NON-Mutagen	NON-Mutagen
247	105928-88-9	[N-]=[N+]=NCC(N)C(=O)O	Training	Mutagen	Mutagen
248	105-95-3	O=C1OCCOC(=O)CCCCCCCCCCC1	Training	NON-Mutagen	NON-Mutagen
249	10595-95-6	O=NN(C)CC	Training	Mutagen	Mutagen
250	106-02-5	O=C1OCCCCCCCCCCCCCC1	Training	NON-Mutagen	NON-Mutagen
251	10605-21-7	O=C(OC)Nc1nc2ccccc2([nH]1)	Training	Mutagen	Mutagen
252	106063-42-7	Oc4ccc(Nc2c3ccccc3(nc1ccccc12))c(OC)c4	Training	Mutagen	Mutagen
253	106-22-9	OCCC(C)CCC=C(C)C	Training	NON-Mutagen	NON-Mutagen
254	106-23-0	O=CCC(C)CCC=C(C)C	Training	NON-Mutagen	NON-Mutagen
255	106-24-1	OCC=C(C)CCC=C(C)C	Training	NON-Mutagen	NON-Mutagen
256	106264-79-3	Nc1c(cc(c(N)c1C)SC)SC	Training	Mutagen	Mutagen
257	106-27-4	O=C(OCCC(C)C)CCC	Training	NON-Mutagen	NON-Mutagen
258	106-30-9	O=C(OCC)CCCCCC	Training	NON-Mutagen	NON-Mutagen
